Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,VOLUME ,VALUE ,No of trades 
25-Jul-2022,"2,339.30","2,348.80","2,313.00","2,325.00","2,325.00","2,328.85","2,330.54",1248393,2909428755,60220
22-Jul-2022,"2,299.00","2,329.95","2,283.10","2,288.60","2,324.00","2,325.00","2,319.24",1185176,2748710039,68206
21-Jul-2022,"2,285.00","2,298.00","2,264.00","2,271.20","2,289.00","2,288.60","2,278.34",1117118,2545174435,61617
20-Jul-2022,"2,280.00","2,298.00","2,261.10","2,241.20","2,269.00","2,271.20","2,282.68",1620332,3698699138,93549
19-Jul-2022,"2,232.50","2,253.00","2,216.70","2,237.45","2,236.00","2,241.20","2,236.69",867223,1939706890,47377
18-Jul-2022,"2,196.00","2,247.30","2,194.05","2,189.70","2,231.00","2,237.45","2,231.23",2016386,4499022003,86134
15-Jul-2022,"2,135.00","2,193.15","2,132.20","2,127.45","2,188.95","2,189.70","2,173.72",1742573,3787858268,69579
14-Jul-2022,"2,132.00","2,140.00","2,113.00","2,111.40","2,128.00","2,127.45","2,125.27",767221,1630549190,42086
13-Jul-2022,"2,130.00","2,141.80","2,107.45","2,130.00","2,114.00","2,111.40","2,122.24",1169721,2482430387,56836
12-Jul-2022,"2,132.00","2,142.00","2,114.45","2,163.60","2,131.00","2,130.00","2,130.32",1096542,2335987660,53839
11-Jul-2022,"2,153.00","2,173.85","2,126.60","2,144.35","2,155.65","2,163.60","2,160.11",1219508,2634272451,58556
8-Jul-2022,"2,140.00","2,154.00","2,110.50","2,127.50","2,143.00","2,144.35","2,135.31",2039331,4354609895,87152
7-Jul-2022,"2,130.00","2,171.60","2,102.55","2,013.55","2,129.95","2,127.50","2,131.30",5915740,12608232134,219221
6-Jul-2022,"1,958.00","2,025.50","1,941.35","1,954.25","2,020.00","2,013.55","1,986.09",1952701,3878235910,91660
5-Jul-2022,"1,967.00","1,989.10","1,940.55","1,962.50","1,958.00","1,954.25","1,969.36",1555345,3063028103,78971
4-Jul-2022,"1,954.00","1,966.60","1,928.00","1,946.20","1,961.00","1,962.50","1,952.37",1023678,1998599537,80119
1-Jul-2022,"1,895.00","1,954.35","1,825.05","1,941.25","1,944.75","1,946.20","1,901.69",4064801,7729981908,181278
30-Jun-2022,"1,950.00","1,965.75","1,926.00","1,936.15","1,930.75","1,941.25","1,946.07",2489709,4845135823,129143
29-Jun-2022,"1,950.00","1,954.30","1,923.00","1,968.05","1,936.00","1,936.15","1,933.09",2375427,4591908331,120667
28-Jun-2022,"2,020.00","2,022.00","1,960.00","2,040.30","1,970.20","1,968.05","1,970.62",3397585,6695340526,163512
27-Jun-2022,"2,082.00","2,083.65","2,025.00","2,045.60","2,045.00","2,040.30","2,046.74",1067849,2185611112,60089
24-Jun-2022,"2,053.55","2,076.40","2,033.95","2,041.40","2,046.15","2,045.60","2,046.73",854618,1749169686,61571
23-Jun-2022,"2,040.00","2,047.80","1,997.15","2,031.20","2,040.00","2,041.40","2,022.78",1632845,3302881610,128426
22-Jun-2022,"2,070.00","2,070.95","2,007.00","2,078.10","2,028.00","2,031.20","2,027.79",1507811,3057525660,119538
21-Jun-2022,"1,979.90","2,093.75","1,966.50","1,961.70","2,079.95","2,078.10","2,058.38",3289922,6771902844,148907
20-Jun-2022,"1,938.00","1,973.45","1,905.45","1,936.45","1,966.90","1,961.70","1,944.16",1967950,3826001837,103825
17-Jun-2022,"2,041.00","2,051.65","1,910.55","2,060.95","1,935.45","1,936.45","1,953.95",6066708,11854052378,332659
16-Jun-2022,"2,126.40","2,145.00","2,042.05","2,105.05","2,059.00","2,060.95","2,080.50",1265289,2632429400,119716
15-Jun-2022,"2,104.00","2,127.50","2,090.00","2,102.00","2,100.00","2,105.05","2,109.32",783714,1653103326,76479
14-Jun-2022,"2,100.00","2,116.90","2,072.65","2,102.40","2,104.00","2,102.00","2,098.72",893733,1875692084,87924
13-Jun-2022,"2,108.00","2,124.45","2,076.20","2,142.25","2,104.60","2,102.40","2,098.73",928411,1948484419,90153
10-Jun-2022,"2,108.00","2,166.00","2,108.00","2,139.70","2,142.70","2,142.25","2,145.62",927889,1990900236,52209
9-Jun-2022,"2,106.00","2,154.00","2,103.00","2,128.85","2,138.35","2,139.70","2,134.47",1035771,2210823973,54790
8-Jun-2022,"2,106.05","2,133.00","2,096.55","2,100.80","2,130.00","2,128.85","2,118.39",1775344,3760874080,89459
7-Jun-2022,"2,173.55","2,179.45","2,088.00","2,198.55","2,100.05","2,100.80","2,104.29",3255286,6850076543,145884
6-Jun-2022,"2,204.40","2,208.95","2,165.95","2,204.40","2,198.00","2,198.55","2,184.18",1285097,2806889353,42127
3-Jun-2022,"2,231.65","2,244.95","2,197.75","2,220.95","2,212.00","2,204.40","2,220.72",1228695,2728593267,43430
2-Jun-2022,"2,176.60","2,225.35","2,176.60","2,197.60","2,225.00","2,220.95","2,207.55",966727,2134099610,52249
1-Jun-2022,"2,255.00","2,304.90","2,180.00","2,216.00","2,195.00","2,197.60","2,225.11",2126105,4730818156,113554
31-May-2022,"2,254.90","2,300.00","2,176.60","2,255.90","2,295.00","2,216.00","2,210.95",7005071,15487882622,122621
30-May-2022,"2,164.00","2,260.00","2,164.00","2,149.20","2,254.95","2,255.90","2,236.71",1691435,3783250800,97144
27-May-2022,"2,155.00","2,159.95","2,123.40","2,141.95","2,150.00","2,149.20","2,139.68",865917,1852788323,62516
26-May-2022,"2,132.00","2,150.85","2,075.50","2,113.40","2,142.05","2,141.95","2,114.66",1382368,2923234031,84371
25-May-2022,"2,160.00","2,181.00","2,106.00","2,140.25","2,115.00","2,113.40","2,125.23",1125068,2391027166,74563
24-May-2022,"2,151.65","2,165.00","2,121.35","2,151.30","2,140.65","2,140.25","2,142.56",1150314,2464621624,80214
23-May-2022,"2,160.00","2,200.00","2,138.00","2,137.05","2,149.95","2,151.30","2,175.25",1346294,2928523000,73291
20-May-2022,"2,139.90","2,155.55","2,129.20","2,111.95","2,142.65","2,137.05","2,137.78",1017542,2175279300,73374
19-May-2022,"2,125.00","2,156.10","2,055.10","2,166.75","2,126.00","2,111.95","2,130.83",981115,2090590745,69616
18-May-2022,"2,187.00","2,194.30","2,161.00","2,176.35","2,170.00","2,166.75","2,178.46",1188772,2589687186,75313
17-May-2022,"2,145.00","2,185.00","2,111.00","2,109.60","2,182.90","2,176.35","2,146.40",1256142,2696180834,76901
16-May-2022,"2,118.00","2,152.00","2,096.70","2,091.70","2,111.00","2,109.60","2,122.33",1370151,2907909953,90560
13-May-2022,"2,056.15","2,154.00","2,056.15","2,048.55","2,096.15","2,091.70","2,113.06",2580348,5452433727,164874
12-May-2022,"2,102.00","2,103.90","2,035.55","2,114.70","2,054.55","2,048.55","2,054.07",1362031,2797704840,98413
11-May-2022,"2,127.20","2,138.00","2,095.75","2,137.35","2,122.75","2,114.70","2,114.07",1472911,3113842058,121081
10-May-2022,"2,180.00","2,186.00","2,125.00","2,183.20","2,131.95","2,137.35","2,151.39",1092429,2350244447,84827
9-May-2022,"2,195.00","2,213.35","2,171.00","2,208.75","2,189.00","2,183.20","2,188.42",968069,2118541973,63411
6-May-2022,"2,240.00","2,240.00","2,195.45","2,262.00","2,215.15","2,208.75","2,214.31",1465638,3245379121,96945
5-May-2022,"2,309.00","2,309.00","2,252.15","2,289.95","2,260.00","2,262.00","2,270.07",2118580,4809327927,108894
4-May-2022,"2,356.00","2,407.00","2,275.00","2,386.55","2,280.00","2,289.95","2,327.57",2357806,5487950141,136419
2-May-2022,"2,435.00","2,437.00","2,372.35","2,458.20","2,386.00","2,386.55","2,399.28",1287401,3088832592,79270
29-Apr-2022,"2,521.00","2,532.00","2,450.00","2,513.20","2,466.35","2,458.20","2,489.52",1496781,3726259986,74394
28-Apr-2022,"2,529.90","2,531.00","2,477.00","2,492.35","2,507.00","2,513.20","2,506.87",933881,2341115728,54560
27-Apr-2022,"2,528.65","2,537.80","2,488.25","2,548.20","2,496.50","2,492.35","2,503.30",801135,2005478808,50875
26-Apr-2022,"2,460.00","2,552.15","2,459.00","2,453.90","2,551.00","2,548.20","2,508.00",1232557,3091248901,61241
25-Apr-2022,"2,471.00","2,489.00","2,447.05","2,512.70","2,455.00","2,453.90","2,463.38",682383,1680965713,57119
22-Apr-2022,"2,515.00","2,526.45","2,476.50","2,521.00","2,504.80","2,512.70","2,507.85",878780,2203850777,44871
21-Apr-2022,"2,482.70","2,524.95","2,466.00","2,482.70","2,522.00","2,521.00","2,507.76",880723,2208640594,52825
20-Apr-2022,"2,453.05","2,505.00","2,442.70","2,452.60","2,481.00","2,482.70","2,480.47",639190,1585488833,48298
