Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2022-12-13,"3,277.20","3,336.45","3,267.80","3,286.45","3,335.00","3,332.10","3,310.82","4,043.00","2,926.10",1378016,"4,56,23,57,640.75",73699
2022-12-12,"3,255.50","3,296.00","3,236.10","3,292.75","3,285.00","3,286.45","3,274.48","4,043.00","2,926.10",1527610,"5,00,21,32,049.60",103407
2022-12-09,"3,374.10","3,374.10","3,276.35","3,350.55","3,290.00","3,292.75","3,309.46","4,043.00","2,926.10",1797896,"5,95,00,67,690.90",141806
2022-12-08,"3,360.00","3,380.60","3,339.45","3,380.60","3,355.00","3,350.55","3,352.36","4,043.00","2,926.10",1285619,"4,30,98,59,984.20",106006
2022-12-07,"3,368.30","3,393.70","3,354.00","3,385.35","3,370.00","3,380.60","3,373.53","4,043.00","2,926.10",1167505,"3,93,86,18,103.80",69818
2022-12-06,"3,400.05","3,407.95","3,368.00","3,425.90","3,383.15","3,385.35","3,382.50","4,043.00","2,926.10",1166999,"3,94,73,73,985.60",107645
2022-12-05,"3,433.00","3,439.15","3,407.00","3,439.15","3,425.00","3,425.90","3,418.70","4,043.00","2,926.10",1475065,"5,04,28,03,817.70",97290
2022-12-02,"3,458.10","3,468.90","3,413.00","3,475.65","3,437.10","3,439.15","3,431.97","4,043.00","2,926.10",2411749,"8,27,70,56,081.00",145867
2022-12-01,"3,425.00","3,480.00","3,420.00","3,390.80","3,473.20","3,475.65","3,465.56","4,043.00","2,926.10",2180856,"7,55,78,96,562.50",142859
2022-11-30,"3,383.00","3,414.90","3,375.00","3,397.35","3,401.00","3,390.80","3,394.24","4,043.00","2,926.10",3410702,"11,57,67,34,182.20",130194
2022-11-29,"3,383.00","3,429.00","3,383.00","3,395.25","3,390.00","3,397.35","3,411.59","4,043.00","2,926.10",1576028,"5,37,67,68,884.00",125430
2022-11-28,"3,366.00","3,417.00","3,365.55","3,389.65","3,392.00","3,395.25","3,395.48","4,043.00","2,926.10",2195437,"7,45,45,68,768.85",112975
2022-11-25,"3,383.00","3,403.35","3,348.00","3,380.15","3,384.00","3,389.65","3,374.67","4,043.00","2,926.10",1588981,"5,36,22,86,252.40",100208
2022-11-24,"3,316.25","3,392.95","3,308.30","3,308.30","3,383.00","3,380.15","3,355.29","4,043.00","2,926.10",1296591,"4,35,04,38,250.55",79969
2022-11-23,"3,330.00","3,330.00","3,291.00","3,314.95","3,306.00","3,308.30","3,309.10","4,043.00","2,926.10",1150011,"3,80,55,02,589.00",66618
2022-11-22,"3,280.00","3,318.95","3,255.25","3,283.50","3,311.00","3,314.95","3,287.74","4,043.00","2,926.10",1149739,"3,78,00,48,017.15",70513
2022-11-21,"3,322.50","3,333.70","3,273.00","3,343.45","3,282.80","3,283.50","3,295.97","4,043.00","2,926.10",1304194,"4,29,85,80,759.95",84298
2022-11-18,"3,350.00","3,362.75","3,321.00","3,349.00","3,343.50","3,343.45","3,340.88","4,043.00","2,926.10",1164540,"3,89,05,90,266.85",76531
2022-11-17,"3,340.00","3,360.00","3,317.75","3,355.35","3,342.20","3,349.00","3,342.56","4,043.00","2,926.10",1417986,"4,73,97,01,185.90",88776
2022-11-16,"3,338.90","3,367.90","3,321.45","3,332.60","3,360.00","3,355.35","3,353.20","4,043.00","2,926.10",1748235,"5,86,21,75,997.55",103674
2022-11-15,"3,321.00","3,339.95","3,292.00","3,335.50","3,338.90","3,332.60","3,313.99","4,043.00","2,926.10",1400708,"4,64,19,36,509.75",83190
2022-11-14,"3,324.00","3,349.00","3,309.00","3,315.95","3,332.00","3,335.50","3,332.83","4,043.00","2,926.10",1342074,"4,47,29,08,370.80",95353
2022-11-11,"3,269.60","3,341.60","3,255.05","3,205.65","3,315.00","3,315.95","3,315.61","4,043.00","2,926.10",3265394,"10,82,67,79,196.30",196708
2022-11-10,"3,170.00","3,225.00","3,170.00","3,216.05","3,205.00","3,205.65","3,208.21","4,043.00","2,926.10",1573092,"5,04,68,13,082.00",107924
2022-11-09,"3,249.80","3,249.80","3,201.65","3,233.70","3,210.00","3,216.05","3,223.43","4,043.00","2,926.10",1162267,"3,74,64,80,719.50",76155
2022-11-07,"3,229.00","3,242.80","3,195.10","3,217.40","3,230.80","3,233.70","3,222.99","4,043.00","2,926.10",1474498,"4,75,22,89,070.25",119792
2022-11-04,"3,217.00","3,220.05","3,166.15","3,206.75","3,220.00","3,217.40","3,192.04","4,043.00","2,926.10",1464013,"4,67,31,87,843.45",72621
2022-11-03,"3,228.05","3,228.05","3,195.00","3,241.70","3,207.00","3,206.75","3,206.14","4,043.00","2,926.10",1422652,"4,56,12,27,424.65",84814
2022-11-02,"3,270.00","3,270.00","3,222.05","3,259.70","3,239.00","3,241.70","3,240.22","4,043.00","2,926.10",1405955,"4,55,55,96,591.55",94898
2022-11-01,"3,214.50","3,262.60","3,203.45","3,193.15","3,259.00","3,259.70","3,241.57","4,043.00","2,926.10",2991060,"9,69,57,42,087.90",149009
2022-10-31,"3,199.00","3,199.00","3,177.80","3,163.25","3,180.25","3,193.15","3,191.67","4,043.00","2,926.10",1919414,"6,12,61,38,001.20",94303
2022-10-28,"3,150.00","3,178.50","3,145.00","3,157.40","3,161.10","3,163.25","3,164.30","4,043.00","2,926.10",1355739,"4,28,99,58,377.35",71311
2022-10-27,"3,160.70","3,174.00","3,134.35","3,162.10","3,162.05","3,157.40","3,161.23","4,043.00","2,926.10",2438421,"7,70,84,20,716.55",130001
2022-10-25,"3,180.50","3,184.25","3,151.15","3,161.70","3,160.15","3,162.10","3,166.20","4,043.00","2,926.10",2069643,"6,55,29,04,042.30",99745
2022-10-24,"3,170.10","3,178.00","3,155.00","3,137.40","3,155.00","3,161.70","3,166.78","4,043.00","2,926.10",260949,"82,63,68,581.35",25561
2022-10-21,"3,157.80","3,160.40","3,127.00","3,157.30","3,137.30","3,137.40","3,141.55","4,043.00","2,926.10",1021913,"3,21,03,89,407.30",45961
2022-10-20,"3,105.00","3,160.00","3,105.00","3,121.85","3,157.95","3,157.30","3,144.51","4,043.00","2,926.10",1587601,"4,99,22,27,693.10",94048
2022-10-19,"3,159.00","3,159.00","3,112.00","3,144.70","3,117.30","3,121.85","3,129.01","4,043.00","2,926.10",1194289,"3,73,69,38,204.00",72626
2022-10-18,"3,150.00","3,155.35","3,128.55","3,111.75","3,137.00","3,144.70","3,143.06","4,043.00","2,926.10",1793722,"5,63,77,73,526.75",94404
2022-10-17,"3,072.65","3,128.40","3,071.45","3,099.15","3,110.00","3,111.75","3,107.10","4,043.00","2,926.10",1517005,"4,71,34,87,675.95",100859
2022-10-14,"3,145.00","3,150.00","3,071.00","3,103.30","3,101.00","3,099.15","3,116.51","4,043.00","2,926.10",2245977,"6,99,96,11,483.40",118456
2022-10-13,"3,100.75","3,110.00","3,052.35","3,100.75","3,100.00","3,103.30","3,082.55","4,043.00","2,926.10",2054781,"6,33,39,60,811.45",104137
2022-10-12,"3,084.90","3,109.90","3,062.05","3,069.55","3,099.00","3,100.75","3,094.12","4,043.00","2,926.10",1665247,"5,15,24,68,426.60",103190
2022-10-11,"3,100.00","3,145.00","3,053.35","3,118.55","3,064.00","3,069.55","3,093.36","4,043.00","2,926.10",4730645,"14,63,35,72,937.30",236043
2022-10-10,"3,010.00","3,127.00","3,005.00","3,064.90","3,124.00","3,118.55","3,093.78","4,043.00","2,926.10",3064063,"9,47,95,26,762.85",166518
2022-10-07,"3,097.40","3,105.00","3,058.10","3,101.95","3,068.00","3,064.90","3,074.46","4,043.00","2,926.10",1939879,"5,96,40,85,468.65",103889
2022-10-06,"3,111.00","3,124.00","3,092.45","3,091.15","3,093.00","3,101.95","3,107.06","4,043.00","2,926.10",1790816,"5,56,41,64,291.95",119572
2022-10-04,"3,029.95","3,098.00","3,023.00","2,984.95","3,097.00","3,091.15","3,072.95","4,043.00","2,926.10",2145875,"6,59,41,68,772.85",124233
2022-10-03,"2,995.00","3,020.70","2,974.00","3,004.55","2,988.00","2,984.95","2,994.74","4,043.00","2,926.10",1763331,"5,28,07,09,075.05",107448
2022-09-30,"2,990.85","3,019.70","2,950.10","2,997.30","3,007.45","3,004.55","2,983.20","4,043.00","2,926.10",2817353,"8,40,47,26,255.55",171103
2022-09-29,"3,054.00","3,055.85","2,990.00","3,035.65","3,010.00","2,997.30","3,009.23","4,043.00","2,926.10",2493902,"7,50,47,29,874.70",133642
2022-09-28,"2,980.00","3,049.95","2,980.00","3,017.45","3,028.35","3,035.65","3,028.75","4,043.00","2,926.10",2739767,"8,29,80,67,346.75",151305
2022-09-27,"3,009.40","3,025.00","2,976.00","2,994.40","3,024.40","3,017.45","3,005.33","4,043.00","2,926.10",2227447,"6,69,42,21,179.95",131328
2022-09-26,"2,959.85","3,025.85","2,926.10","2,982.05","3,000.00","2,994.40","2,977.75","4,043.00","2,926.10",2925489,"8,71,13,83,905.80",167767
2022-09-23,"3,004.00","3,022.50","2,979.00","3,007.40","2,986.65","2,982.05","3,001.09","4,043.00","2,953.00",2652374,"7,96,00,14,548.90",187233
2022-09-22,"2,990.00","3,029.95","2,979.30","3,001.20","3,008.50","3,007.40","3,010.71","4,043.00","2,953.00",2017983,"6,07,55,62,180.05",137752
2022-09-21,"3,028.00","3,041.40","2,998.15","3,040.30","3,001.90","3,001.20","3,011.58","4,043.00","2,953.00",2253818,"6,78,75,59,960.10",201995
2022-09-20,"3,050.00","3,079.95","3,030.00","3,028.80","3,033.00","3,040.30","3,059.63","4,043.00","2,953.00",1544295,"4,72,49,64,009.65",123732
2022-09-19,"3,036.00","3,042.00","2,987.80","3,008.70","3,027.95","3,028.80","3,024.49","4,043.00","2,953.00",2072220,"6,26,74,02,983.35",151579
2022-09-16,"3,076.00","3,094.35","3,000.00","3,104.35","3,015.80","3,008.70","3,027.20","4,043.00","2,953.00",5322221,"16,11,14,01,562.70",347665
2022-09-15,"3,130.00","3,137.75","3,100.00","3,120.40","3,105.50","3,104.35","3,111.64","4,043.00","2,953.00",2138023,"6,65,27,58,362.25",154835
2022-09-14,"3,135.00","3,141.40","3,113.80","3,229.35","3,125.00","3,120.40","3,124.97","4,043.00","2,953.00",5090269,"15,90,69,35,573.95",292423
2022-09-13,"3,263.45","3,263.45","3,225.00","3,242.95","3,233.00","3,229.35","3,237.09","4,043.00","2,953.00",1972678,"6,38,57,43,761.10",116114
2022-09-12,"3,239.90","3,269.80","3,225.00","3,217.65","3,238.00","3,242.95","3,251.63","4,043.00","2,953.00",1785928,"5,80,71,79,274.50",117081
2022-09-09,"3,195.00","3,233.50","3,168.50","3,169.65","3,220.00","3,217.65","3,201.30","4,043.00","2,953.00",1561185,"4,99,78,28,185.60",103256
2022-09-08,"3,170.00","3,183.50","3,160.10","3,149.60","3,164.40","3,169.65","3,169.60","4,043.00","2,953.00",1346113,"4,26,66,40,131.55",68717
2022-09-07,"3,102.00","3,161.90","3,102.00","3,127.05","3,153.00","3,149.60","3,135.29","4,043.00","2,953.00",1291534,"4,04,93,33,272.55",89078
