Date ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,VALUE ,No of trades 
2022-10-14,278.5,279,270.15,272.25,271.65,271.1,274.05,303.45,165.25,1175760,"32,22,17,989.15",13715
2022-10-13,273.7,275.5,268.15,273.05,272,272.25,271.94,303.45,165.25,1528929,"41,57,74,850.30",15658
2022-10-12,269,274.35,265.5,267.3,273.85,273.05,271.21,303.45,165.25,2533146,"68,70,03,311.40",20809
2022-10-11,271.5,275.85,266.45,270.45,267.15,267.3,271.54,303.45,165.25,3333782,"90,52,65,980.75",42196
2022-10-10,267.5,271.3,263.5,271.15,271.3,270.45,267.65,303.45,165.25,1722106,"46,09,25,604.95",18904
2022-10-07,270.05,272.2,266.8,272.55,271,271.15,269.51,303.45,165.25,1554031,"41,88,22,566.20",18609
2022-10-06,273.8,276.35,271.3,272.4,272.25,272.55,273.82,303.45,165.25,2918428,"79,91,25,158.20",27474
2022-10-04,268.8,273.35,264.55,263.95,272.5,272.4,269.32,303.45,165.25,5785606,"1,55,81,94,925.10",35339
2022-10-03,279.8,279.9,262,278.7,265.8,263.95,268.66,303.45,165.25,5260992,"1,41,33,97,094.80",45184
2022-09-30,271.65,279.95,268.15,270.75,279.45,278.7,273.72,303.45,165.25,2723667,"74,55,21,035.25",20888
2022-09-29,274.95,277.9,269.6,273.55,271.65,270.75,273,303.45,165.25,3696480,"1,00,91,31,384.55",29066
2022-09-28,270,278.7,267.25,273,272,273.55,274.38,303.45,165.25,2722366,"74,69,59,126.15",33167
2022-09-27,275.05,278,270.3,274.05,274.3,273,274.56,303.45,165.25,3280017,"90,05,53,434.25",21948
2022-09-26,283,283.1,267.3,285.25,275,274.05,273.78,303.45,165.25,3953508,"1,08,23,73,850.75",34888
2022-09-23,289,289.9,281.6,288.1,284.2,285.25,285.08,303.45,165.25,3264445,"93,06,23,048.05",26967
2022-09-22,285.05,289.9,277.35,287.35,289.35,288.1,284.76,303.45,165.25,4234367,"1,20,57,67,562.95",35433
2022-09-21,289.65,295.85,286.55,288.2,287.9,287.35,291.01,303.45,165.25,4099662,"1,19,30,52,256.45",34749
2022-09-20,292.55,293.35,287.3,288.75,288.15,288.2,290.44,303.45,165.25,2466073,"71,62,34,076.30",23627
2022-09-19,284.3,292.1,281,282.85,288.65,288.75,287.66,303.45,165.25,6526069,"1,87,72,86,645.80",57363
2022-09-16,299.5,303.45,281.45,299.65,284.7,282.85,292.11,303.45,165.25,11351453,"3,31,58,80,812.85",87280
2022-09-15,281.85,301.55,280.4,281.2,299.55,299.65,294.16,301.55,165.25,14869699,"4,37,40,68,905.80",111577
2022-09-14,274.15,282.85,273.95,279.5,280.05,281.2,279.25,285.4,165.25,2497302,"69,73,77,134.65",23128
2022-09-13,284,285.4,278.9,284,279.6,279.5,281.44,285.4,165.25,2051904,"57,74,92,510.90",31622
2022-09-12,274.1,285,273.9,273.6,283.85,284,281.16,285,165.25,4282678,"1,20,41,18,444.50",38969
2022-09-09,278.7,279.8,272.75,277.8,273.35,273.6,275.78,279.8,165.25,2600993,"71,73,11,542.05",23039
2022-09-08,277,279.75,274.75,274.75,277.4,277.8,277.11,279.75,165.25,3659958,"1,01,41,99,510.75",31095
2022-09-07,271,275.7,269.1,272.45,274.15,274.75,272.8,275.7,165.25,4895373,"1,33,54,46,375.75",40395
2022-09-06,261.9,274.25,258,254.6,272.45,272.45,268.61,274.25,165.25,20003769,"5,37,33,11,144.35",140257
2022-09-05,253.25,255.8,252.65,251.95,254.95,254.6,254.37,268.3,165.25,2298044,"58,45,57,177.20",32527
2022-09-02,254.15,256.35,250,252.8,253.2,251.95,253.08,268.3,165.25,3530033,"89,33,75,852.95",26380
2022-09-01,251.25,255.45,249.2,251.7,252.35,252.8,252.52,268.3,165.25,2767609,"69,88,64,398.35",25041
2022-08-30,244.4,253.4,243.1,242.45,253.2,251.7,249.64,268.3,165.25,3792772,"94,68,38,112.60",35504
2022-08-29,241,243.65,236.45,245.3,243.1,242.45,240.36,268.3,165.25,2717298,"65,31,36,043.60",30907
2022-08-26,248,250.2,245,246.65,245.6,245.3,246.7,268.3,165.25,1502077,"37,05,62,366.10",18160
2022-08-25,252.3,252.9,246.15,250,247.4,246.65,248.67,268.3,165.25,1811625,"45,04,91,780.50",13653
2022-08-24,252,254.5,247.5,252,250.2,250,250.64,268.3,165.25,2042297,"51,18,77,224.70",17947
2022-08-23,247.5,253.15,244.8,249.85,252.7,252,249.14,268.3,165.25,4114692,"1,02,51,45,224.30",37835
2022-08-22,258.5,260,248.7,260.15,249.8,249.85,254.49,268.3,165.25,2877229,"73,22,25,051.25",25538
2022-08-19,266.4,268.3,259.15,266.5,260,260.15,263.56,268.3,165.25,3603948,"94,98,45,619.90",29643
2022-08-18,260,267.35,257.65,260,266.65,266.5,264.29,267.35,165.25,5840246,"1,54,35,12,220.90",52130
2022-08-17,249.2,261.9,249.05,250.15,260,260,259,261.9,165.25,8884401,"2,30,10,85,358.55",64838
2022-08-16,238.1,257.55,235.85,236.1,250.25,250.15,250.3,257.55,165.25,20112566,"5,03,41,05,407.95",131287
2022-08-12,234.75,239.5,231.35,233.75,236,236.1,235.13,250,165.25,3143149,"73,90,52,227.95",20464
2022-08-11,229.75,234.75,229,228.6,233.4,233.75,231.96,250,165.25,1683251,"39,04,52,863.25",13696
2022-08-10,229,229.8,225.45,228.9,228,228.6,227.72,250,165.25,1248427,"28,42,95,860.35",15808
2022-08-08,230,232.6,228.1,230,229,228.9,229.88,250,165.25,1178984,"27,10,21,799.25",10915
2022-08-05,233.45,233.45,228.05,232.2,230.4,230,230.15,250,165.25,2146494,"49,40,09,871.15",19566
2022-08-04,229.7,233.9,225.3,228.5,231.45,232.2,230.37,250,165.25,2680246,"61,74,41,321.35",22761
2022-08-03,228,229.15,223.15,227.35,227.9,228.5,226.27,250,165.25,1905742,"43,12,03,925.40",18739
2022-08-02,222.4,229.65,218.55,222.1,226.6,227.35,227.08,250,165.25,4821502,"1,09,48,90,419.30",40273
2022-08-01,220.35,224.5,220.35,219.9,221.8,222.1,222.74,250,165.25,2157833,"48,06,37,550.95",18314
2022-07-29,218.25,222,217.6,218.15,219.25,219.9,219.76,250,165.25,1818463,"39,96,23,440.55",15372
2022-07-28,212.65,218.75,210.95,212.3,217.5,218.15,215.98,250,165.25,2944272,"63,58,97,029.10",20014
2022-07-27,208.3,212.75,206.25,209.05,211.25,212.3,210.01,250,165.25,1286108,"27,00,89,874.75",9880
2022-07-26,214.4,214.4,208,213.8,208.3,209.05,210.85,250,165.25,992654,"20,92,97,667.10",11988
2022-07-25,212.35,215.8,210.65,211.75,213.95,213.8,213.76,250,165.25,1575796,"33,68,43,554.35",20140
2022-07-22,213.8,215.45,210.35,213.15,210.55,211.75,212.67,250,165.25,1407502,"29,93,37,494.40",11074
2022-07-21,212,213.55,210.9,212.4,212.85,213.15,212.51,250,165.25,980144,"20,82,86,594.95",7850
2022-07-20,213.95,214.75,211.75,212.15,211.9,212.4,213.13,250,165.25,1231681,"26,25,04,440.95",8977
2022-07-19,209.75,213.5,208.9,211.65,211.65,212.15,211.94,250,165.25,1287440,"27,28,55,334.80",10158
2022-07-18,212,213.65,209.95,211.15,211.05,211.65,211.62,250,165.25,1214398,"25,69,86,223.70",10895
2022-07-15,207.95,211.85,207,206.65,211,211.15,210.11,250,165.25,2534663,"53,25,67,632.95",26060
2022-07-14,207.15,209.2,204.5,207.15,206.45,206.65,207.04,250,165.25,1200408,"24,85,29,151.20",11508
2022-07-13,207.5,210.25,206.35,206.45,206.55,207.15,207.99,250,165.25,1439599,"29,94,15,771.35",12164
2022-07-12,206,207.45,204.55,207.5,206.15,206.45,206.08,250,165.25,1447158,"29,82,35,643.90",15567
2022-07-11,200.3,209.2,200.3,203.15,206.65,207.5,204.57,250,165.25,2145160,"43,88,28,971.30",15709
2022-07-08,202.85,205.25,199.8,202.05,202,203.15,202.55,250,165.25,2784010,"56,38,92,222.70",21496
2022-07-07,194.45,203,193.55,192.8,201.7,202.05,199.15,250,165.25,5020555,"99,98,63,536.15",32558
2022-07-06,187.45,195.05,187.45,186.15,193.35,192.8,191.04,250,165.25,3004454,"57,39,75,026.00",27653
2022-07-05,191.35,191.55,185.75,189.3,186.15,186.15,189.06,250,165.25,1227177,"23,20,09,207.85",9664
2022-07-04,189,191,188.15,189.05,190,189.3,189.34,250,165.25,1051165,"19,90,25,622.60",7838
2022-07-01,185.7,190,184.3,185.1,188.9,189.05,186.98,250,165.25,1276512,"23,86,82,954.45",10818
2022-06-30,187.5,188.65,184.5,186.9,184.7,185.1,186.67,250,165.25,1958789,"36,56,37,604.10",13621
2022-06-29,186.1,187.85,184.85,188.9,187.05,186.9,186.43,250,165.25,2263450,"42,19,64,435.95",20623
2022-06-28,186.6,190.25,184,187.65,188.8,188.9,188.47,250,165.25,3252373,"61,29,67,912.75",20500
2022-06-27,185.4,189.25,183.3,181.3,187.3,187.65,187.28,250,165.25,4036877,"75,60,29,899.65",32612
2022-06-24,181.25,183,179.9,179.4,181.4,181.3,181.38,250,165.25,3491221,"63,32,41,756.65",23685
2022-06-23,179.5,184.3,174.4,179.55,179.55,179.4,178.48,250,165.25,5974789,"1,06,63,85,222.15",34356
2022-06-22,179,181.3,176.1,179.25,179.55,179.55,179.18,250,165.25,3385696,"60,66,36,901.95",31470
2022-06-21,178,180,175.35,176.45,179.5,179.25,177.94,250,165.25,3558572,"63,32,10,980.85",29983
2022-06-20,176.5,181.75,167.1,175.55,177.7,176.45,172.13,250,165.25,5267947,"90,67,75,966.00",38172
2022-06-17,176.45,179,172.9,176.2,175.6,175.55,176.22,250,165.25,3024259,"53,29,20,184.70",21900
2022-06-16,183,184.8,175,186.1,175.75,176.2,180.27,250,165.25,3807016,"68,62,99,238.15",33577
2022-06-15,188.2,188.2,183,187.1,183,186.1,185.98,250,165.25,2726702,"50,71,02,380.35",21845
2022-06-14,189.65,192.5,186,189.6,187.15,187.1,189.26,250,165.25,2177460,"41,21,12,304.60",18314
2022-06-13,198.75,198.75,187.7,200.4,189.9,189.6,191.49,250,165.25,3101090,"59,38,34,767.75",27596
2022-06-10,206,206.95,200,208.55,200.85,200.4,202.68,250,165.25,2887595,"58,52,67,407.55",21773
2022-06-09,211.95,211.95,206.25,212,208.5,208.55,208.39,250,165.25,1897437,"39,54,05,323.35",15420
2022-06-08,211.75,214.8,209.45,210.9,212.4,212,211.89,250,165.25,1738755,"36,84,21,036.30",13066
2022-06-07,215.6,215.6,209.2,215.9,211.2,210.9,211.26,250,165.25,1931353,"40,80,21,430.10",14835
2022-06-06,218,220.25,213.25,218.3,215.05,215.9,216.99,250,165.25,5773421,"1,25,27,51,952.10",34616
2022-06-03,223,223.7,217.35,221.9,218.6,218.3,220.21,250,165.25,3370883,"74,22,92,536.65",21189
2022-06-02,219.45,222.55,218.1,219.85,221.9,221.9,219.89,250,165.25,1876440,"41,26,15,433.20",17141
2022-06-01,218.5,221.9,218.5,218.35,219.85,219.85,220.41,250,165.25,2615209,"57,64,18,662.00",22914
2022-05-31,219,221.55,217.3,220,218.5,218.35,219.79,250,165.25,2127628,"46,76,39,811.20",18541
2022-05-30,217.5,220.65,217.1,215.15,220,220,219.45,250,165.25,1860634,"40,83,11,492.35",25562
2022-05-27,216,217.7,212.25,213.5,215.7,215.15,214.88,250,165.25,1847098,"39,69,11,329.55",14821
2022-05-26,213.2,214.75,207,212.8,214.65,213.5,210.86,250,165.25,3168312,"66,80,59,723.35",24305
2022-05-25,217.6,218.95,211.9,216.4,212.9,212.8,213.97,250,165.25,1889645,"40,43,35,299.95",19306
2022-05-24,218.5,220.2,215.35,218.85,216.7,216.4,217.7,250,165.25,1796489,"39,10,93,921.10",12920
2022-05-23,218.4,224.5,217,216.75,218.5,218.85,221.27,250,165.25,4656426,"1,03,03,44,301.75",36357
2022-05-20,216.25,218.75,214.75,215.25,216.5,216.75,216.83,250,165.25,2632825,"57,08,74,826.90",24277
2022-05-19,206,219,206,214.1,212.35,215.25,214.09,250,165.25,5872245,"1,25,71,82,750.75",45183
2022-05-18,215,219,213.3,214.9,214.5,214.1,215.83,250,165.25,4081629,"88,09,33,850.90",42757
2022-05-17,209.2,215.7,208,210.35,215.5,214.9,212.45,250,165.25,4934672,"1,04,83,90,947.55",38586
2022-05-16,204.4,211.4,198.75,200.65,210,210.35,208.23,250,165.25,8673232,"1,80,60,35,265.05",49774
2022-05-13,195.5,208.45,194,196,203,200.65,201.14,250,165.25,9735027,"1,95,80,61,011.35",87930
2022-05-12,194.5,197,190.75,195.65,195,196,193.75,250,165.25,4355672,"84,39,18,685.05",38929
2022-05-11,200.5,200.95,193.25,198.75,196.4,195.65,197.04,250,165.25,4078142,"80,35,62,259.65",26432
2022-05-10,193.15,203.6,193.15,193.15,198.5,198.75,199.98,250,165.25,7841294,"1,56,80,98,467.20",59713
2022-05-09,196,196,189.05,196.3,193,193.15,192.34,250,165.25,2440942,"46,94,87,741.00",19253
2022-05-06,194.85,197,192.1,199.7,196.9,196.3,194.99,250,165.25,3401145,"66,31,73,437.05",27469
2022-05-05,203.6,204,199.1,200,199.15,199.7,201.53,250,165.25,2378186,"47,92,69,597.45",18060
2022-05-04,204,206.5,198.5,202.6,200.5,200,203.02,250,165.25,3633629,"73,77,06,582.35",30308
2022-05-02,202.2,204,198.5,205,203,202.6,202.28,250,165.25,1842620,"37,27,29,720.95",15311
2022-04-29,205.2,210.3,204.35,207,204.95,205,207.42,250,165.25,2941052,"61,00,44,943.70",24564
2022-04-28,213.9,214,206.25,210.5,207.5,207,208.76,250,165.25,5104715,"1,06,56,46,410.30",36904
2022-04-27,201.95,211.45,198.55,204.1,210.15,210.5,205.75,250,165.25,8443657,"1,73,72,97,633.25",57198
2022-04-26,195.4,205.3,194.05,191.95,204,204.1,201.42,250,165.25,6786358,"1,36,69,23,474.20",45332
2022-04-25,197.5,198.5,191.1,199.75,192.75,191.95,194.22,250,165.25,3760965,"73,04,64,486.70",26453
2022-04-22,202.35,203.7,199.05,204.15,200.55,199.75,201.41,250,165.25,2907621,"58,56,27,368.70",27773
2022-04-21,199.4,204.8,197.1,194.4,204.3,204.15,201.68,250,165.25,7095916,"1,43,11,16,642.80",54825
2022-04-20,190.75,195.95,189.25,189.2,194.6,194.4,193.65,250,165.25,3428638,"66,39,55,429.35",25910
2022-04-19,191.7,193.8,187,190.1,187.85,189.2,191.56,250,165.25,2290054,"43,86,81,185.55",26362
2022-04-18,193,194.45,188.9,195.45,190.3,190.1,190.92,250,165.25,2303227,"43,97,32,858.45",26925
2022-04-13,195.5,198,195,195.35,195.3,195.45,196.18,250,165.25,2074515,"40,69,86,462.20",20109
2022-04-12,200,200,194.95,201.5,195.5,195.35,197.2,250,165.25,4091155,"80,67,79,660.30",37573
2022-04-11,203,204.8,200.1,202.75,201.3,201.5,202.02,250,165.25,2888261,"58,34,91,857.40",23988
